DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
529,CORONA,2008,0.447,0,0.023122163
529,CORONA,2010,0.512,0,0.021688025
529,CORONA,2011,0.449,1,0.021887213
529,MILLER,2006,0.437,1,0.13407175
529,MILLER,2007,0.424,0,0.142929988
529,MILLER,2008,0.447,0,0.1504264
529,MILLER,2010,0.512,0,0.160615475
529,MILLER,2011,0.449,1,0.162063525
529,OTHERBEER,2006,0.437,1,0.217840925
529,OTHERBEER,2007,0.424,0,0.231033263
529,OTHERBEER,2008,0.447,0,0.2492256
529,OTHERBEER,2010,0.512,0,0.274817625
529,OTHERBEER,2011,0.449,1,0.28456155
533,BUDWEISER,2006,0.409,0,0.051334438
533,BUDWEISER,2007,0.369,0,0.087556938
533,BUDWEISER,2008,0.435,1,0.083266375
533,BUDWEISER,2009,0.423,0,0.092775575
533,BUDWEISER,2010,0.458,0,0.099300613
533,BUDWEISER,2011,0.481,0,0.086720938
533,COORS,2006,0.409,0,0.012624638
533,COORS,2007,0.369,0,0.019117038
533,COORS,2008,0.435,1,0.020133038
533,COORS,2009,0.423,0,0.023976038
533,COORS,2010,0.458,0,0.024242588
533,COORS,2011,0.481,0,0.023996813
533,CORONA,2006,0.409,0,0.011219963
533,CORONA,2007,0.369,0,0.01560725
533,CORONA,2008,0.435,1,0.017493075
533,CORONA,2009,0.423,0,0.016049875
533,CORONA,2010,0.458,0,0.018735438
533,CORONA,2011,0.481,0,0.015390363
533,MILLER,2006,0.409,0,0.010870813
533,MILLER,2007,0.369,0,0.018796463
533,MILLER,2008,0.435,1,0.01767135
533,MILLER,2009,0.423,0,0.017487838
533,MILLER,2010,0.458,0,0.016777063
533,MILLER,2011,0.481,0,0.015585813
533,OTHERBEER,2006,0.409,0,0.052023513
533,OTHERBEER,2007,0.369,0,0.09166435
533,OTHERBEER,2008,0.435,1,0.089257688
533,OTHERBEER,2009,0.423,0,0.088406625
533,OTHERBEER,2010,0.458,0,0.093265575
533,OTHERBEER,2011,0.481,0,0.081685588
534,BUDWEISER,2006,0.472,0,0.3415299
534,BUDWEISER,2007,0.504,0,0.448880525
534,BUDWEISER,2008,0.452,1,0.447337813
534,BUDWEISER,2009,0.464,0,0.474633675
534,BUDWEISER,2010,0.477,0,0.46842675
534,BUDWEISER,2011,0.49,0,0.44945355
534,COORS,2006,0.472,0,0.0680911
534,COORS,2007,0.504,0,0.0995879
534,COORS,2008,0.452,1,0.107993288
534,COORS,2009,0.464,0,0.115642738
534,COORS,2010,0.477,0,0.11967605
534,COORS,2011,0.49,0,0.1126627
534,CORONA,2006,0.472,0,0.059522988
534,CORONA,2007,0.504,0,0.086364188
534,CORONA,2008,0.452,1,0.08474995
534,CORONA,2009,0.464,0,0.076261025
534,CORONA,2010,0.477,0,0.074092213
534,CORONA,2011,0.49,0,0.074955713
534,MILLER,2006,0.472,0,0.116907825
534,MILLER,2007,0.504,0,0.1655015
534,MILLER,2008,0.452,1,0.164222313
534,MILLER,2009,0.464,0,0.159171713
534,MILLER,2010,0.477,0,0.14847205
534,MILLER,2011,0.49,0,0.140828425
534,OTHERBEER,2006,0.472,0,0.330239113
534,OTHERBEER,2007,0.504,0,0.486980225
534,OTHERBEER,2008,0.452,1,0.474114725
534,OTHERBEER,2009,0.464,0,0.473678838
534,OTHERBEER,2010,0.477,0,0.462764463
534,OTHERBEER,2011,0.49,0,0.457076225
535,BUDWEISER,2006,0.478,0,0.327244225
535,BUDWEISER,2007,0.439,0,0.34725945
535,BUDWEISER,2008,0.498,0,0.367664375
535,BUDWEISER,2009,0.465,0,0.378241438
535,BUDWEISER,2010,0.54,0,0.4170177
535,BUDWEISER,2011,0.562,0,0.405293688
535,COORS,2006,0.478,0,0.054931425
535,COORS,2007,0.439,0,0.057956175
535,COORS,2008,0.498,0,0.065449688
535,COORS,2009,0.465,0,0.068108138
535,COORS,2010,0.54,0,0.071075788
535,COORS,2011,0.562,0,0.077594075
535,CORONA,2006,0.478,0,0.037114563
535,CORONA,2007,0.439,0,0.041989463
535,CORONA,2008,0.498,0,0.03925525
535,CORONA,2009,0.465,0,0.037539813
535,CORONA,2010,0.54,0,0.042360763
535,CORONA,2011,0.562,0,0.038936488
535,MILLER,2006,0.478,0,0.145733775
535,MILLER,2007,0.439,0,0.15962895
535,MILLER,2008,0.498,0,0.172385188
535,MILLER,2009,0.465,0,0.166719875
535,MILLER,2010,0.54,0,0.175812675
535,MILLER,2011,0.562,0,0.1775035
535,OTHERBEER,2006,0.478,0,0.4054121
535,OTHERBEER,2007,0.439,0,0.447380175
535,OTHERBEER,2008,0.498,0,0.479103125
535,OTHERBEER,2009,0.465,0,0.508129238
535,OTHERBEER,2010,0.54,0,0.534306113
535,OTHERBEER,2011,0.562,0,0.53733245
539,BUDWEISER,2006,0.394,0,0.453233363
539,BUDWEISER,2007,0.476,0,0.539196863
539,BUDWEISER,2008,0.488,0,0.5514626
539,BUDWEISER,2009,0.492,0,0.56996455
539,BUDWEISER,2010,0.466,0,0.544314763
539,BUDWEISER,2011,0.465,0,0.579138
539,COORS,2006,0.394,0,0.07253385
539,COORS,2007,0.476,0,0.094712213
539,COORS,2008,0.488,0,0.100989363
539,COORS,2009,0.492,0,0.102796775
539,COORS,2010,0.466,0,0.095317963
539,COORS,2011,0.465,0,0.101139238
539,CORONA,2006,0.394,0,0.058169
539,CORONA,2007,0.476,0,0.071422888
539,CORONA,2008,0.488,0,0.075551588
539,CORONA,2009,0.492,0,0.07201305
539,CORONA,2010,0.466,0,0.0645762
539,CORONA,2011,0.465,0,0.073946938
539,MILLER,2006,0.394,0,0.147681313
539,MILLER,2007,0.476,0,0.180808175
539,MILLER,2008,0.488,0,0.185422763
539,MILLER,2009,0.492,0,0.168756188
539,MILLER,2010,0.466,0,0.143953863
539,MILLER,2011,0.465,0,0.152531563
539,OTHERBEER,2006,0.394,0,0.460629638
539,OTHERBEER,2007,0.476,0,0.591320388
539,OTHERBEER,2008,0.488,0,0.578140125
539,OTHERBEER,2009,0.492,0,0.554629225
539,OTHERBEER,2010,0.466,0,0.498917738
539,OTHERBEER,2011,0.465,0,0.550515938
542,BUDWEISER,2006,0.451,0,0.228405838
542,BUDWEISER,2007,0.485,0,0.246311075
542,BUDWEISER,2008,0.448,0,0.266114025
542,BUDWEISER,2009,0.435,0,0.2754341
542,BUDWEISER,2010,0.537,0,0.294911413
542,BUDWEISER,2011,0.536,0,0.276192013
542,COORS,2006,0.451,0,0.02901025
542,COORS,2007,0.485,0,0.02934375
542,COORS,2008,0.448,0,0.035154975
542,COORS,2009,0.435,0,0.03613555
542,COORS,2010,0.537,0,0.036729688
542,COORS,2011,0.536,0,0.038797025
542,CORONA,2006,0.451,0,0.01842655
542,CORONA,2007,0.485,0,0.021180288
